"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Allure Integration Demo","0","TestSpecification Usage","6","0","Allure отчеты","0"
"0","REST Assured Demo","0","FormApiClient","7","0","Form Parameters","0"
"0","","0","OAuth 2.0 Authentication","1","0","Refresh Token","0"
"0","","0","Bean Validation (JSR-380)","1","0","Pattern","0"
"0","REST Assured Demo","0","MultipartApiClient","4","0","Multipart","0"
"0","","0","OAuth 2.0 Authentication","2","0","Негативные тесты","0"
"0","","0","JWT Authentication","2","0","Получение JWT токена","0"
"0","","0","API Key Authentication","4","0","API Key в заголовке","0"
"0","REST Assured Demo","0","ApiClient","1","0","Негативные тесты","0"
"0","REST Assured Demo","0","ApiClient","2","0","Работа с комментариями","0"
"0","REST Assured Demo","0","ApiClient","5","0","GET запросы","0"
"0","REST Assured Demo","0","SoapApiClient","2","0","SOAP Fault","0"
"0","","0","JWT Authentication","2","0","Использование JWT токена","0"
"0","REST Assured Demo","0","ApiClient","3","0","PATCH запросы","0"
"0","","0","Bean Validation (JSR-380)","2","0","requireValid","0"
"0","","0","JWT Authentication","7","0","Парсинг JWT claims","0"
"0","REST Assured Demo","0","SoapApiClient","8","0","SOAP","0"
"0","Pekko actors","0","Actor Model","4","0","Акторы","0"
"0","","0","API Key Authentication","1","0","Комплексный сценарий","0"
"0","","0","OAuth 2.0 Authentication","3","0","Client Credentials","0"
"0","","0","JWT Authentication","6","0","Проверка expiration","0"
"0","REST Assured Demo","0","AuthApiClient","8","0","Bearer Token","0"
"0","REST Assured Demo","0","XML","4","0","XML","0"
"0","REST Assured Demo","0","ApiClient","1","0","PUT запросы","0"
"0","","0","OAuth 2.0 Authentication","3","0","Использование токена","0"
"0","REST Assured Demo","0","AuthApiClient","6","0","Basic Auth","0"
"0","REST Assured Demo","0","ApiClient","2","0","POST запросы","0"
"0","","0","Bean Validation (JSR-380)","1","0","","0"
"0","","0","JWT Authentication","4","0","Негативные тесты","0"
"0","","0","JWT Authentication","2","0","Рефреш токена","0"
"0","REST Assured Demo","0","ApiClient","2","0","Создание пользователей","0"
"0","REST Assured Demo","0","ApiClient","3","0","Комплексные сценарии","0"
"0","","0","Digest Authentication","4","0","Digest Auth","0"
"0","","0","API Key Authentication","3","0","API Key в query-параметре","0"
"0","Allure Integration Demo","0","TestSpecification Usage","1","0","Негативные тесты","0"
"0","","0","Bean Validation (JSR-380)","2","0","Контракт ответа API","0"
"0","","0","Bean Validation (JSR-380)","1","0","Положительный id","0"
"0","REST Assured Demo","0","ApiClient","1","0","Валидация заголовков","0"
"0","","0","Bean Validation (JSR-380)","1","0","Невалидный email","0"
"0","","0","Bean Validation (JSR-380)","1","0","Каскадная валидация","0"
"0","","0","API Key Authentication","2","0","API Key как Basic Auth","0"
"0","","0","Bean Validation (JSR-380)","1","0","Валидный объект","0"
"0","REST Assured Demo","0","ApiClient","1","0","DELETE запросы","0"
"0","","0","OAuth 2.0 Authentication","2","0","Resource Owner Password","0"
"0","REST Assured Demo","0","ApiClient","1","0","Валидация ответов","0"
"0","","0","Bean Validation (JSR-380)","1","0","Пустые обязательные поля","0"
